model,zero,median,mean,bfill,ffill,knn,mice,DLine,idx
7.076396,2709.462,92.95396,79.4826,34.195522,12.96379,37.79221,15.415337,209.98807,92
8.6796,3011.697,26.798738,26.551147,26.923235,83.30088,22.934803,15.878531,282.18497,90
18.580189,2889.4746,43.096344,43.038937,40.981754,86.472725,43.90907,68.987686,226.9932,91
8.609805,3922.8018,31.336689,28.144846,17.128323,19.260256,16.221027,15.812938,166.6839,93
7.476162,4555.9985,79.285286,76.82511,25.376059,23.051712,33.96264,36.780037,257.0048,94
25.958742,4121.401,43.15096,36.620804,3.673918,3.7144742,17.814457,16.364794,312.61224,96
9.249475,3176.3892,29.293087,25.370857,7.943052,11.376406,19.208353,12.213741,288.43332,99
14.112639,2631.6707,49.927628,39.126865,21.612873,52.178703,39.667458,63.65053,235.24818,97
14.330282,4215.011,84.63713,75.70516,14.24678,17.346352,21.60359,18.118547,482.53757,98
0.7225263,2866.2585,7.876711,6.0929613,2.4635134,3.8554106,4.9843707,4.001073,203.28714,105
3.691767,1824.7074,15.239622,13.785344,4.7597256,13.856195,6.4166446,9.476151,103.59791,100
3.6426525,3002.0024,19.584213,18.997967,9.557745,11.494488,14.514064,13.800962,170.3303,103
12.781068,4928.1724,58.609097,54.91216,19.0511,21.621605,40.376213,23.801245,415.52676,104
15.4083,3618.0498,37.1991,41.75149,6.8299427,5.9284577,13.77898,19.273462,271.1575,102
12.099138,3781.0637,79.37801,66.06551,10.474897,17.439707,34.11463,32.308094,262.9676,101
7.545221,1750.7069,53.22458,38.097588,9.788741,14.730225,25.105871,16.58994,180.19476,106
8.894701,2462.978,76.04243,71.64014,18.719753,21.315493,74.37184,33.56335,302.35156,107
5.9418344,2966.3948,28.641973,28.078539,6.751356,10.538526,26.353836,13.359772,183.26332,108
6.759013,4202.547,34.157173,30.562723,16.396961,16.48834,20.260668,18.674318,484.7239,109
2.5883195,975.0613,9.55367,8.999903,2.2958257,11.095519,7.499941,3.7431135,64.9962,113
43.53791,3005.0947,147.715,111.62631,80.877396,84.58643,96.65259,99.944176,432.00858,114
22.151775,4878.7656,40.73561,54.07052,8.249972,9.346017,19.35194,10.244584,240.01483,112
18.968441,1968.0333,156.57921,138.08229,52.455727,66.22408,76.34004,70.747925,450.0166,111
35.287743,5409.3857,193.46889,177.08127,70.284805,71.3615,91.92936,109.142105,1069.7474,115
34.145214,3540.7363,76.6109,71.23835,17.926598,76.01737,42.431866,21.142727,279.9844,110
8.699787,1765.3566,39.54367,37.997902,6.8605886,21.268372,21.684263,13.332657,658.6141,116
4.78668,2559.1914,5.5927954,6.597087,1.716472,7.6477723,3.1996038,2.6885972,238.30132,117
3.166403,1023.30334,6.6408687,6.324592,1.7465397,4.4190073,5.2509317,4.0999093,67.04237,118
37.915344,4260.6846,117.57036,100.3689,28.733278,27.363281,46.14441,57.832653,438.51782,119
55.95934,1782.8568,74.23888,75.84139,9.311536,9.01864,12.708581,112.24032,183.5044,125
5.248533,1174.3375,15.224255,14.479267,6.5575275,13.907682,11.185178,16.587912,86.933044,124
6.0170636,1384.4664,5.951122,6.1500382,4.609938,6.8781867,3.5971189,3.1728868,71.87828,120
15.817477,1500.0995,62.516747,63.323795,21.784233,20.215294,30.075245,21.987232,210.47028,123
4.2097178,3192.1838,57.775124,59.5291,5.868054,8.93891,35.743996,20.991247,257.32968,122
9.069062,2881.7637,16.593754,16.783123,12.250479,53.423573,11.66823,8.4826355,150.82701,121
5.324159,2137.1907,40.036667,32.596767,9.780605,7.870148,26.336073,14.22304,157.33247,129
10.050241,4448.7764,32.394577,35.793674,9.325182,19.625353,12.078444,11.036352,251.8172,127
10.193394,2995.413,72.6435,70.68434,24.819279,18.105267,45.253044,30.59311,334.73795,128
11.589157,1831.245,125.21225,89.440956,17.216673,19.883825,29.980833,38.720295,231.30153,126
12.849007,4629.2954,53.45162,46.923016,22.193296,23.873444,33.45467,49.08826,414.9234,130
5.966216,2475.91,42.76176,40.237694,17.599892,22.201904,40.09462,33.72415,202.22911,135
17.096903,4056.02,40.560215,37.69514,20.093994,26.168093,28.148184,34.43552,400.98624,132
20.630762,3017.5945,71.70008,66.32956,32.553154,35.414043,50.973206,80.767426,439.18878,133
60.025658,4740.7344,41.528633,40.74288,10.272387,18.047237,17.139229,17.804266,612.7102,131
10.297763,3717.768,50.81978,49.411198,9.792881,15.677977,16.47168,13.506711,154.90959,134
11.868367,4642.6655,83.34866,66.65504,11.84867,30.424398,15.082865,18.97257,267.09912,136
5.6108174,1639.124,22.89439,20.671345,8.779736,11.674017,14.882859,9.436627,352.5214,137
2.6282253,1864.6399,16.617268,15.966035,9.141365,9.910579,14.030738,12.674533,85.10931,139
25.329996,2827.8152,35.31555,32.81687,22.047234,106.50438,18.939741,12.153221,112.0622,138
8.638881,1387.8387,13.02307,12.189283,7.9303603,47.69778,10.969256,8.877533,131.83896,145
29.443804,4173.268,89.579994,81.148636,44.11599,46.6009,64.37392,77.88768,276.8267,142
4.9512405,4419.106,33.635464,28.795013,17.202017,49.553146,24.185322,22.324297,209.20427,140
4.493826,4142.506,28.862501,26.696043,20.227396,13.274188,20.031662,17.632835,238.35463,141
14.256454,3124.9607,44.019356,36.80276,28.733625,48.09568,31.972935,42.124203,211.31189,144
9.378348,3134.116,33.810757,32.758465,21.355867,46.22682,26.148,24.62544,217.05453,143
0.908975,967.1691,4.0278645,4.0149345,1.7763321,4.1673822,3.8561406,2.4690814,61.13144,148
2.6263175,3029.8464,33.409046,28.885979,11.107751,11.934124,19.643753,28.293077,231.54015,146
5.099626,2639.0217,35.123547,30.814579,9.74635,6.1791677,24.40448,11.343662,543.2011,149
13.557236,3242.339,57.76165,51.954456,3.5245378,10.848456,34.30911,15.606442,248.2631,147
3.4799025,3476.4578,25.46296,25.882132,4.653213,5.9922967,19.684866,14.150203,201.77132,155
8.049117,4072.5554,52.26614,44.774673,11.340487,14.707345,20.073458,22.63822,402.93967,152
3.4367068,2961.043,7.4458537,7.672408,3.2662296,8.85336,4.398408,3.106665,181.45035,154
5.8180156,2775.6636,189.02843,141.79742,6.225898,5.6946826,45.347446,31.084614,409.76614,151
9.85754,2144.7566,20.91221,21.925503,18.910408,29.514181,21.387913,26.122322,186.11809,150
9.367959,2202.351,71.90785,66.35474,35.912224,42.471268,38.555176,39.01258,269.8536,153
2.7848125,2989.8237,55.62803,40.64779,38.20841,39.703934,40.730457,34.96463,281.6716,158
1.5437456,3967.9175,11.657001,10.411886,5.878852,7.4444084,7.1802044,10.0323715,466.81342,156
4.3270397,2584.6328,13.656837,13.817373,9.848481,10.289303,10.100061,10.545867,168.07317,157
0.92244875,2671.541,45.855133,40.858334,12.132288,6.9483447,21.837856,183.08815,196.5377,159
1.5788348,1285.9323,10.266516,11.109438,4.6254215,8.84601,12.827506,7.173476,106.62637,162
21.687803,3668.703,45.53977,44.707447,34.218067,47.99752,41.235973,30.546404,297.27472,163
4.003616,2067.3113,22.109339,22.870678,6.037622,7.2178445,13.903733,7.8366737,220.1238,161
48.093662,2322.2856,88.70613,84.6359,43.864853,92.736534,57.123356,56.642956,224.54405,164
56.120903,2069.304,70.19909,62.508644,31.916111,34.15489,54.04289,51.597843,366.28085,160
15.895648,4717.361,78.43884,68.432945,20.07791,20.917053,30.52932,36.68239,350.11374,165
11.567269,1554.8535,70.50205,64.94514,29.538025,104.77944,57.52469,48.348843,142.98737,166
2.6109295,3186.7905,9.458894,13.732605,7.3131804,6.739463,6.6613197,8.650724,162.39194,167
1.8693779,976.2324,6.238022,5.6760178,1.725529,6.45867,5.780476,4.2786508,98.94095,168
8.784291,3819.5107,30.511442,34.99661,9.403296,9.47951,31.04273,19.70417,451.28647,169
3.861163,3264.4194,29.360535,28.986933,10.560726,48.017174,35.135887,22.336266,345.45444,171
16.00665,3432.5845,42.413555,38.328377,7.4332585,11.314018,23.066477,14.222903,314.01266,173
2.5105293,1868.7114,80.92313,77.28471,19.857922,15.42428,51.59305,43.682533,140.58925,170
13.910104,2679.149,31.77109,29.57241,9.52559,27.113455,16.58861,11.019249,237.26695,174
0.63690263,2732.4111,14.085006,15.653027,6.236759,6.266925,13.452196,9.684306,227.61949,175
39.946503,4977.755,91.06051,86.05395,30.707787,46.92306,73.25308,48.13452,356.31128,172
5.0854497,3722.5515,22.002546,21.073458,18.036695,21.747654,17.792625,13.935517,146.7095,176
68.477936,4579.3477,159.91486,134.08676,32.97609,35.435616,63.330765,65.49002,369.59467,177
0.8093352,1184.0948,7.5836387,7.3818617,5.1767063,14.381386,6.3957367,4.6888065,237.58755,179
9.590508,1960.2189,43.926758,33.03497,12.008174,13.484375,18.10441,14.81742,152.43364,178
13.675408,4224.413,23.767385,24.63778,8.185574,7.7166843,23.42147,19.56814,316.70483,184
