0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
-0.0011949845216452,-0.0164485661728428,-0.0296152312563797,-0.988563197826644,-0.986664581138164,-0.9911832296531712,-0.9570950352891427,-0.9874279875487334,-0.9723401657834152,-0.9883849985176034,-0.996356959222077,-0.9405886477241406,-0.9820993056229352,-0.9019845522706322,-0.997512358253282,-0.9050421829694756,-0.9706588782114104,-0.9548785429211988,-0.973566941700404,-0.990974798553463,-0.9036065554461746,-0.9727714907876056,-0.9081233281813184,-0.991804987719859,-0.9596886035713612,-0.9914931449586812,-0.9973112293598088,-0.9729621892569617,-0.980736476043484,-0.8498021204178398,-0.994284921488509,-0.9869380513407466,-0.981768722685302,-0.9332756061596528,-0.9974048950418872,-0.9704646486579532,-0.9737503197593343,-0.9915246799819192,-0.9580985811938442,-0.9914163050476829,-0.957538536616132,-0.9339480737946532,-0.8507750683983449,-0.9733993646171516,-0.9723351436042796,-0.9046009327777206,-0.960201926967692,-0.9913868255298234,-0.9597516448144194,-0.9402171547469664,-0.9807502923625062,-0.9942164517578695,-0.9809922992787644
0.0146003138719358,0.018446754069253,-0.0235115755925692,-0.9880850360822068,-0.9869609311921697,-0.99129695594292,-0.9587894887517004,-0.9875780536705768,-0.9722957852692644,-0.9874879669144796,-0.996335096582328,-0.937048640633918,-0.9820964333705384,-0.906214850109748,-0.9974362556149272,-0.9076358581141444,-0.9701183149287064,-0.9540588822226644,-0.9732028369126584,-0.9913541279614916,-0.9069086701591867,-0.9734220054717776,-0.909740565014082,-0.9916092381696529,-0.9603563221910718,-0.991580232913469,-0.9974056576379962,-0.9726689000831098,-0.9808222963393948,-0.8524558928091436,-0.99448682111784,-0.9866257981403316,-0.9812450286361863,-0.9374578013729647,-0.9975081977604344,-0.9700028799529996,-0.9738161729990836,-0.9914661426743736,-0.959050172579952,-0.9909557337792716,-0.9583963841294494,-0.936450381491676,-0.8551351595392357,-0.9735630745274502,-0.9730811916101132,-0.905998077314366,-0.9600828812748792,-0.9914953163607244,-0.95858334492003,-0.939723923812215,-0.9810478863349376,-0.9940587127092112,-0.9806129793761316
0.0124356903650179,0.0334617624859236,-0.0022092551626705,-0.9882403356598338,-0.987058995887224,-0.9913695779162544,-0.9595288968482678,-0.9875368396196516,-0.9728804850111976,-0.987535261336826,-0.9962161885988372,-0.9364742705668276,-0.9822227266640842,-0.9037046153122662,-0.997473237548992,-0.903202051014406,-0.9712784249253644,-0.9552550789010448,-0.9730086861417244,-0.9907887055823968,-0.9031951480686742,-0.9735740362985168,-0.906631822078326,-0.9913954066666716,-0.961305779562508,-0.9915429107336912,-0.9973391989108532,-0.973224769371594,-0.9805258273281678,-0.8560151386096,-0.9944795745433398,-0.9870213745008756,-0.9813200445221522,-0.9357769142767772,-0.9974504867988668,-0.971447513010031,-0.9735385329702853,-0.9914086620639389,-0.9593745767677604,-0.9915790263076452,-0.958342789491658,-0.9361925471810932,-0.8541602231303869,-0.9741429114899052,-0.972148572403754,-0.9076137181454176,-0.9608092856240136,-0.9910473793555808,-0.9588753360676808,-0.9392651439920076,-0.9809003351502846,-0.9941631072528028,-0.9809064482754258
-0.0014553336259226,0.0313172307320775,0.0029554844115548,-0.9879924051618596,-0.986550466167132,-0.9913670391522352,-0.9586366573775432,-0.98729498835324,-0.9726993996469564,-0.9881044872742296,-0.996256915348606,-0.9371918089405172,-0.9812080737938332,-0.9072212045240065,-0.9974953714087004,-0.9028813296421266,-0.9709002395067292,-0.9554486704531456,-0.97338559065488,-0.9909995846987604,-0.9045927452319767,-0.97473401518351,-0.9079539114221548,-0.9917503633046996,-0.9599516284157952,-0.9911092924788834,-0.9973757473753714,-0.9732169352355132,-0.9800613249819912,-0.8579874815167895,-0.9943168236021336,-0.9863717330908804,-0.982203048398744,-0.9318138478192388,-0.9973487051238242,-0.9707257909712064,-0.9728141523526092,-0.9916657875459092,-0.9593718673571586,-0.9911883211484084,-0.9580530381060516,-0.934052965110768,-0.8512849479086315,-0.9729510811196992,-0.9728388352502092,-0.9052342875262952,-0.95969468977438,-0.9914669234411316,-0.9590285093145312,-0.9390527038202372,-0.9806965575637504,-0.9941209476060028,-0.9800828164378642
-0.0078112585311632,0.0137291969654894,-0.0063470151053361,-0.9880372877563416,-0.9868054332460464,-0.9910472970680516,-0.9566109016096404,-0.9878483920358774,-0.9724246991010824,-0.9879657873058348,-0.9962557925098142,-0.9376214462632336,-0.9813996038532146,-0.9039793402457146,-0.9973791628766768,-0.8995721730454054,-0.9699146429669744,-0.9564009075450074,-0.9734269825699692,-0.99102455411999,-0.9071851871752672,-0.9738154099920956,-0.9083242346929202,-0.991457167885396,-0.9591414920071952,-0.991318697186752,-0.9973438296312936,-0.9729780920991188,-0.9798016475908036,-0.8543525193787558,-0.994478217138926,-0.9868054937627204,-0.981676879476798,-0.936080023504577,-0.9974578590611272,-0.9713293923421968,-0.9731468717781452,-0.99183730169284,-0.9605191724029292,-0.9912474033545056,-0.9571526722900954,-0.9338454412787373,-0.8501636979523918,-0.9722003023325,-0.97238720969749,-0.9078244752325364,-0.9611023808779918,-0.9913831344081788,-0.9605946561687434,-0.9411802671678078,-0.9809339538520088,-0.9941764206401836,-0.9800731777721432
0.0110774553778867,0.0050643451867932,0.0028810145441719,-0.9878869183360044,-0.9865760747786028,-0.9911606004316508,-0.9593555369421544,-0.9875371439041296,-0.9736338202396724,-0.9880068509249506,-0.9961741618945346,-0.9379465669493724,-0.9815473013940929,-0.9048630510926792,-0.9975338926871162,-0.8998724522377038,-0.9711552981988316,-0.956173925360267,-0.9728912150213354,-0.9908243236271254,-0.90411080351543,-0.9733348442937544,-0.908232026516525,-0.991499514196267,-0.958817225541482,-0.9914634120447764,-0.9974237915988065,-0.9724895106351616,-0.9802258587406356,-0.8556305479345536,-0.9943340519297732,-0.9868094559783304,-0.9818184847862628,-0.9325135798944022,-0.9974123667210356,-0.9707669245662848,-0.9739209797085068,-0.9915901214931684,-0.9586855870712384,-0.991236459918129,-0.9562187000355598,-0.9342600136510136,-0.8534296250706247,-0.9735084666537543,-0.9720091091068418,-0.9067235372966942,-0.9597670487911704,-0.991329965990608,-0.9601767760333878,-0.939185552746415,-0.9796516330329182,-0.9943061826662768,-0.9808815109949128
0.0162442105675703,-0.0048563009471108,0.0033401278076345,-0.9882740732032184,-0.986501452901654,-0.991477386953428,-0.9596344314114812,-0.9875051251295732,-0.973032078029089,-0.9878689281083254,-0.9962894250987634,-0.9387085391460672,-0.981496505851832,-0.9037229747119624,-0.9974489597095056,-0.9014297473180276,-0.9701257586514463,-0.9551692502105872,-0.973059589057684,-0.9908593418472682,-0.9036487930194136,-0.9729535379970572,-0.908789455082598,-0.991509776202231,-0.960179997177113,-0.9913415273246816,-0.9974776925164816,-0.972517458502616,-0.9804526839114068,-0.8557230497421673,-0.994233450573526,-0.9870785960723932,-0.9818483348505758,-0.9357572089559344,-0.9974473193582843,-0.970649950290414,-0.9731463764136014,-0.991417588464052,-0.958766676293298,-0.9912967378039358,-0.95634679295333,-0.9349276897424476,-0.854374458276066,-0.9717105240898488,-0.9722384736984152,-0.9063967142085714,-0.960180494879866,-0.9916325274984396,-0.9601283898977534,-0.939526251587848,-0.9802941163718152,-0.9940328468007766,-0.9811251145590671
0.0186565460067404,-0.0190385092678905,-0.0043491504536873,-0.9880872841968524,-0.9870082627817772,-0.9913668561492784,-0.959564784356349,-0.987535959926246,-0.9727249518879676,-0.9881756349331572,-0.9961196896288644,-0.936593300316778,-0.981680643275,-0.9026038069206384,-0.9974810855119974,-0.9027847166826726,-0.9712340901173016,-0.9546421402669438,-0.9735088507811268,-0.9910050631492838,-0.9030527129362848,-0.9734069823063074,-0.9097338275928024,-0.9916435162196268,-0.958648198590869,-0.9911705486162808,-0.9974589014525392,-0.9734978879383496,-0.9805714388091132,-0.8545104425690849,-0.9941968335991976,-0.9864145554809411,-0.9819509169538788,-0.9354550947328728,-0.9974479632614928,-0.970754932251513,-0.9738483971008134,-0.991369530467543,-0.960005130718397,-0.9911773897263788,-0.9580760453475402,-0.935193453888852,-0.8498246956510556,-0.9728767232841512,-0.972670964388786,-0.9064544834556456,-0.9588709690067928,-0.9913883356256904,-0.959925277348106,-0.9390589489564584,-0.9802039435694706,-0.9943033128099232,-0.9808861106940524
0.0069177107344318,-0.0070228379375658,0.025705049424238,-0.9879479819659016,-0.9867712134351224,-0.9913515496246386,-0.9591404245805644,-0.9875160251226506,-0.972764003695716,-0.9880685659723634,-0.9963309589231047,-0.93707963708494,-0.9824185982637622,-0.9013212802254984,-0.997488228788162,-0.9039317717828216,-0.9706366522839852,-0.954432154094168,-0.972790858805138,-0.9911630832772494,-0.901529810388689,-0.9731553816056052,-0.9075887712533722,-0.9916162065678068,-0.9593385962720656,-0.9914777013002236,-0.9974069392040332,-0.9724760379898716,-0.9815534092835672,-0.8549720573872385,-0.9943084291663422,-0.9873530969267684,-0.9818605775343774,-0.93321965295682,-0.9974687873674024,-0.9711507409238496,-0.9733611237424504,-0.9915154400344812,-0.9580282195849464,-0.9911646947478612,-0.9584558133617668,-0.933941684674771,-0.8501271780230613,-0.9724097476758896,-0.9716692822708451,-0.9068540357707582,-0.9591450454256178,-0.9917801163388325,-0.9602372224440738,-0.940289180527466,-0.9808193220438112,-0.9941837971053014,-0.9806900021629162
0.0090982902340126,-0.0019301069201425,0.0190050592041214,-0.9880812082126964,-0.9872723227976056,-0.9912694199362772,-0.9592675316030284,-0.9876889370464388,-0.9727372548134868,-0.9878385239843956,-0.9961356361583792,-0.9387361822782224,-0.9822284536723104,-0.9052445907801638,-0.997499463851538,-0.9004583886776739,-0.971508086756257,-0.9545656608187676,-0.972596936760506,-0.9913267486437668,-0.8974813394341137,-0.9729542653978582,-0.9063354818332684,-0.9916735412804152,-0.9584987764650438,-0.9910827655909116,-0.9972988434342472,-0.9724910316213976,-0.980017845090562,-0.8579605973372948,-0.9944265174454568,-0.9866188755579132,-0.9815514957570612,-0.9336479039815856,-0.9974100415865218,-0.9701682997450568,-0.9740406556939668,-0.9914171768887382,-0.9594195317639348,-0.9915372419957328,-0.959316008453873,-0.9360162170601614,-0.8496305290821812,-0.9730793341678334,-0.9729973002183668,-0.9099627087186548,-0.958875156853353,-0.9914150165954972,-0.9601776799567404,-0.9388647241819706,-0.9808043386007176,-0.9940920290277034,-0.9806918363876832
